,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
permanent,Permanent,永恒的,Permanente,स्थायी,دائم,Permanente,Постоянный,永続,Permanen,Dauerhaft,영구적 인,Permanent,శాశ్వత,Permanente,Permanenteng
agriculture,Agriculture,农业,Agricultura,कृषि,الزراعة,Agricultura,сельское хозяйство,農業,Pertanian,Landwirtschaft,농업,Agriculture,వ్యవసాయం,agricoltura,Agrikultura
dell,Dell,戴尔,Dell,गड्ढा,ديل,Dell.,Осевать,デルリー,Dell,Dell,작은 골짜기,Dell,డెల్,Dell,Dell.
cleaning,Cleaning,打扫,Limpieza,सफाई,تنظيف,Limpeza,Очистка,クリーニング,Reresik,Reinigung,청소,Nettoyage,శుభ్రపరచడం,Pulizia,Paglilinis
constitutes,Constitutes,构成,Que constituye,का गठन किया,يشكل,Constitui,Составляют,構成されている,Tertartites,Konstituiert,구성,Constitue,కమింద్యత,Costituisce,Conditutes.
portfolio,Portfolio,文件夹,portafolio,पोर्टफोलियो,ملف,Portfólio.,портфолио,ポートフォリオ,Portopolio,Portfolio,포트폴리오,Portefeuille,పోర్ట్ఫోలియో,Portafoglio,Portfolio.
practical,Practical,实际的,Práctico,व्यावहारिक,عملي,Prático,Практично,実用的,Praktis,Praktisch,현실적인,Pratique,ఆచరణాత్మకమైన,Pratico,Praktikal
delivered,Delivered,发表,Entregado,पहुंचा दिया,تم التوصيل,Entregue,Доставленный,納入されました,Dikirim,Geliefert,배달 된 것,Livré,పంపిణీ చేయబడింది,Consegnato,Naihatid
collectibles,Collectibles,收藏品,Coleccionables,संग्रह,المقتنيات,Colecionáveis,Коллекционирование,グッズ,Koleksine,Sammlerstücke,수집품,Objets de collection,సేకరణ,Collezione.,Collectibles
infrastructure,Infrastructure,基础设施,Infraestructura,आधारभूत संरचना,بنية تحتية,A infraestrutura,Инфраструктура,インフラストラクチャー,Infrastruktur,Infrastruktur.,하부 구조,Infrastructure,ఇన్ఫ్రాస్ట్రక్చర్,Infrastruttura,Imprastraktura
exclusive,Exclusive,独家的,Exclusivo,अनन्य,حصري,Exclusivo,Эксклюзивный,エクスクルーシブ,Eksklusif,Exklusiv,독점적 인,Exclusif,ప్రత్యేకమైనది,Esclusivo,Eksklusibo
seat,Seat,座位,Asiento,सीट,مقعد,Assento,Сиденье,シート,Kursi,Sitz,좌석,Siège,సీటు,posto a sedere,Upuan
concerns,Concerns,担心,Preocupaciones,चिंताओं,مخاوف,Preocupações,Обеспокоенность,懸念,Uneg-uneg,Anliegen,걱정거리,Préoccupations,ఆందోళనలు,Preoccupazioni,Mga alalahanin
colour,Colour,颜色,Color,रंग,لون,Cor,Цвет,色,Werna,Farbe,색상,Couleur,రంగు,Colore,Kulay
vendor,Vendor,小贩,Vendedor,विक्रेता,بائع,Fornecedor,Продавец,ベンダー,Vendor,Verkäufer,공급 업체,Vendeur,విక్రేత,Venditore,Vendor
originally,Originally,起初,Originalmente,मौलिक रूप से,في الأصل,Originalmente,Первоначально,元は,Wiwitane,Ursprünglich,원래,Initialement,వాస్తవానికి,Originariamente,Orihinal na
intel,Intel,英特尔,Intel,इंटेल,شركة انتل,Intel.,Интуиция,インテルの,Intel,Intel.,인텔,Intel,ఇంటెల్,Intel.,Intel
utilities,Utilities,公用事业,Utilidad,उपयोगिताओं,خدمات,Serviços de utilidade pública,Утилиты,ユーティリティ,Utilitas,Dienstprogramme,유용,Utilité,వినియోగాలు,Utilità,Mga Utilidad
philosophy,Philosophy,哲学,Filosofía,दर्शन,فلسفة,Filosofia,Философия,哲学,Filsafat,Philosophie,철학,Philosophie,తత్వశాస్త్రము,Filosofia,Pilosopiya
regulation,Regulation,规定,Regulación,विनियमन,اللائحة,Regulamento,Регулирование,規制,Regulasi,Verordnung,규제,Régulation,నియంత్రణ,Regolamento,Regulasyon
officers,Officers,长官,Oficiales,अधिकारियों,ضباط,Oficiais,Офицеры,官吏,Petugas,Offiziere,장교들,Officiers,అధికారులు,Ufficiali,Opisyal.
reduction,Reduction,减少,Reducción,कमी,تخفيض,Redução,Снижение,割引,Pengurangan,Die Ermäßigung,절감,Réduction,తగ్గింపు,Riduzione,Pagbawas
aim,Aim,目的,Apuntar,लक्ष्य,هدف,Mirar,Цель,標的,Tujuan,Ziel,겨냥하다,Objectif,లక్ష్యం,Scopo,Pakay
bids,Bids,出价,Ofertas,बोलियां,العطاءات,Lances,Ставки,入札,Tawaran,Gebote,입찰가,Offres,బిడ్లు,Offerte,Mga bid.
referred,Referred,提到,Referido,निर्दिष्ट,مشار إليه,Referido,Упоминание,言及,Diarani,Verwiesen,추천,Renvoyé,సూచిస్తారు,Riferito,Tinutukoy
supports,Supports,支持,Apoyos,समर्थन,يدعم,Apoia,Поддерживает,サポート,Ndhukung,Unterstützt,지원,Les soutiens,మద్దతు,Supporti,Sinusuportahan
nutrition,Nutrition,营养,Nutrición,पोषण,تغذية,Nutrição,Питание,栄養,Nutrisi,Ernährung,영양물 섭취,Nutrition,పోషణ,Nutrizione,Nutrisyon
recording,Recording,记录,Grabación,रिकॉर्डिंग,تسجيل,Gravação,Запись,録音,Rekam,Aufzeichnung,녹음,Enregistrement,రికార్డింగ్,Registrazione,Recording.
regions,Regions,地区,Regiones,क्षेत्रों,المناطق,Regiões.,Регионы,地域,Wilayah,Regionen,영역,Régions,ప్రాంతాలు,Regioni,Rehiyon.
junior,Junior,初级,Júnior,जूनियर,نجارة,Júnior,Младший,ジュニア,SMP,Junior,후진,Junior,జూనియర్,Junior,Junior.
toll,Toll,收费,Peaje,टोल,رسوم,Pedágio,Потери,通行料金,Tol,Maut,통행료,Sonner,టోల్,Pedaggio,Toll
les,Les,l,Les,लेस,ليه,Les.,Лес,les,Les,Les,레안,Les,Les.,Les.,Les.
cape,Cape,岬,capa,केप,رداء,capa,мыс,ケープ,Cape,Kap,곶,Cap,కేప్,Capo,Cape
ann,Ann,ann,Ana,ऐन,آن.,Ann.,Анна,庵,Ann,Ann.,앤의,Ann,సన్,Ann.,Ann.
rings,Rings,戒指,Anillos,रिंगों,خواتم,argolas,Колец,r r,Dering,Ringe,반지,Anneaux,వలయాలు,Anelli,Singsing
meaning,Meaning,意义,Sentido,अर्थ,المعنى,Significado,Имея в виду,意味,Makna,Bedeutung,의미,Sens,అర్థం,Significato,Kahulugan
tip,Tip,提示,Propina,टिप,نصيحة,Gorjeta,Кончик,ヒント,TIP,Spitze,팁,Conseil,చిమ్మట,Consiglio,Tip
secondary,Secondary,中学,Secundario,माध्यमिक,ثانوي,Secundário,Вторичный,二次,Sekunder,Sekundär,중고등 학년,Secondaire,ద్వితీయ,Secondario,Pangalawang
wonderful,Wonderful,精彩的,Maravilloso,आश्चर्यजनक,رائع,Maravilhoso,Чудесно,素晴らしい,Apik banget,Wunderbar,훌륭한,Merveilleux,అద్భుతమైన,Meraviglioso,Kahanga-hanga
mine,Mine,矿,Mía,मेरा,الخاص بي,Minha,Моя,私の,Tambangku,Bergwerk,내 거,Exploiter,మైన్,Mio,Akin
ladies,Ladies,女士们,Señoras,महिलाओं,السيدات,Senhoras,Дамы,婦人,Wanita,Damen,숙녀,Dames,స్త్రీలు,Le signore,Ladies.
henry,Henry,亨利,Enrique,हेनरी,هنري,Henry.,Генри,ヘンリー,Henry,Henry,헨리,Henri,హెన్రీ,Henry.,Henry.
ticket,Ticket,票,Billete,टिकट,تذكرة,Bilhete,Проездной билет,チケット,Tiket,Fahrkarte,티켓,Billet,టికెట్,Biglietto,Tiket.
announced,Announced,宣布,Anunciado,की घोषणा की,أعلن,Anunciado,Объявлено,発表,Diumumake,Angekündigt,발표했다,Annoncé,ప్రకటించారు,Annunciato,Inihayag
guess,Guess,猜测,Adivinar,अनुमान,يخمن,Acho,Угадай,推測,Guess,Vermuten,추측하다,Deviner,అంచనా,Indovina,Hulaan
agreed,Agreed,同意,Acordado,माना,متفق,Concordou,Согласовано,合意した,Sarujuk,Einverstanden,동의했다,D'accord,అంగీకరించింది,Concordato,Sumang-ayon
prevention,Prevention,预防,Prevención,निवारण,الوقاية,Prevenção,Профилактика,防止,Nyegah,Verhütung,방지,La prévention,నివారణ,Prevenzione,Prevention.
whom,Whom,谁,Quién,किसको,من,O qual,Кому,誰がいます,Sapa wae,Dem,누구,Qui,వీరిలో,Chi,Sino
ski,Ski,滑雪,Esquí,स्की,تزلج,Esqui,Лыж,スキー,Ski,Ski,스키,Ski,స్కీ,Sciare,Ski.
soccer,Soccer,足球,Fútbol,फुटबॉल,كرة القدم,Futebol,Футбольный,サッカー,Bal-balan,Fußball,축구,Football,సాకర్,Calcio,Soccer.
math,Math,数学,Matemáticas,गणित,الرياضيات,Matemática,Математика,算数,Matematika,Mathematik,수학,Math,మఠం,Matematica,Math
import,Import,进口,Importar,आयात,يستورد,Importar,Импортировать,輸入,Impor,Importieren,수입,Importer,దిగుమతి,Importare,Angkat
posting,Posting,发布,Destino,प्रविष्टि,نشر,Postagem,Публикация,投稿,Posting,Posting,전기,Affectation,పోస్ట్,Posting,Posting
presence,Presence,在场,Presencia,उपस्थिति,حضور,Presença,Присутствие,面前,Ngarsane,Gegenwart,있음,Présence,ఉనికి,Presenza,Presensya
instant,Instant,立即的,Instante,तुरंत,فوري,Instante,Мгновенный,インスタント,Instan,Sofortig,즉각적인,Instant,తక్షణ,Immediato,Instant
mentioned,Mentioned,提及,Mencionado,उल्लिखित,مذكور,Mencionado,Упомянул,言及された,Disebutake,Erwähnt,말하는,Mentionné,పేర్కొన్నారు,Menzionato,Nabanggit.
automatic,Automatic,自动的,Automático,स्वचालित,التلقائي,Automático,Автоматический,自動的に,Otomatis,Automatisch,자동적 인,Automatique,ఆటోమేటిక్,Automatico,Awtomatiko
healthcare,Healthcare,卫生保健,Cuidado de la salud,स्वास्थ्य देखभाल,الرعاىة الصحية,Cuidados de saúde,Здравоохранение,健康管理,Kesehatan,Gesundheitspflege,보건 의료,Soins de santé,ఆరోగ్య సంరక్షణ,Assistenza sanitaria,Pangangalaga sa kalusugan
viewing,Viewing,观看,Visita,देखना,المعاينة,Visualização,Viewing,視聴する,Ndeleng,Ansicht,보기,Affichage,వీక్షణ,Visione,Pagtingin
maintained,Maintained,保持,Mantenido,बनाए रखा,حافظ,Mantido,Поддерживается,維持した,Dijaga,Gepflegt,유지,Entretenu,నిర్వహించిన,Mantenuto,Pinananatili
ch,Ch,CH.,Ch,चौधरी,ش.,CH,Отделение,ch,Ch,CH,씨,Ch,Ch.,Ch.,Ch.
increasing,Increasing,越来越多,Creciente,की बढ़ती,في ازدياد,Aumentando,Увеличение,増加する,Mundhak,Zunehmend.,증가하는 것,En augmentant,పెరుగుతున్న,Crescente,Pagtaas
majority,Majority,多数,Mayoria,बहुमत,غالبية,Maioria,Большинство,多数,Mayoritas,Mehrheitlich,다수,Majorité,మెజారిటీ,Maggioranza,Karamihan
connected,Connected,连接的,Conectado,जुड़े हुए,متصل,Conectado,Связаны,併せて,Sambungake,In Verbindung gebracht,연결되어있다,Connecté,కనెక్ట్ చేయబడింది,Collegato,Konektado
christ,Christ,基督,Cristo,ईसा मसीह,السيد المسيح,Cristo,Христос,キリスト,Kristus,Christus,그리스도,Christ,క్రీస్తు,Cristo,Kristo.
dan,Dan,担,Dan,सज्जन,دان,Dan.,Дэн,d d,Dan,Dan,단,Dan,డాన్,Dan.,Dan.
dogs,Dogs,小狗,Perros,कुत्ते,الكلاب,Cães,Собаки,犬,Asu,Hunde,개들,Chiens,కుక్కలు,Cani,Mga aso
sd,Sd,SD.,Dakota del Sur,हस्ता,سند,SD,SD.,SD,SD,Sd.,SD.,Dakota du Sud,Sd.,Sd.,Sd.
directors,Directors,董事,Directores,निदेशक,المديرين,Diretores,Директора,監督,Direksi,Verwaltungsratoren,감독,Directeurs,దర్శకులు,registi,Direktor
aspects,Aspects,方面,Aspectos,पहलू,وجوه,Aspectos,Аспекты,側面,Aspek,Aspekte,상들,Aspects,అంశాలను,Aspetti,Aspeto
austria,Austria,奥地利,Austria,ऑस्ट्रिया,النمسا,Áustria,Австрия,オーストリア,Austria,Österreich,오스트리아,L'Autriche,ఆస్ట్రియా,Austria,Austria.
ahead,Ahead,先,Adelante,आगे,امام,À frente,Предстоящий,先に,Ing ngarep,Voaus,앞으로,Devant,ముందుకు,Avanti,Maaga
moon,Moon,月亮,Luna,चांद,قمر,Lua,Луна,月,Rembulan,Mond,달,Lune,మూన్,Luna,Buwan
participation,Participation,参加,Participación,भाग लेना,مشاركة,Participação,Участие,参加,Partisipasi,Beteiligung,참여,Participation,పాల్గొనడం,Partecipazione,Paglahok
scheme,Scheme,方案,Esquema,योजना,مخطط,Esquema,Схема,図式,Skema,Planen,계획,Schème,పథకం,schema,Scheme.
utility,Utility,公用事业,Utilidad,उपयोगिता,جدوى,Utilitário,Утилита,効用,Utilitas,Dienstprogramm,공익 사업,Utilitaire,వినియోగ,Utilità,Kagamitan
preview,Preview,预览,Avance,पूर्वावलोकन,معاينة,Pré-visualização,Предварительный просмотр,プレビュー,Pratinjau,Vorschau,시사,Aperçu,ప్రివ్యూ,Anteprima,Preview
fly,Fly,飞,Mosca,उड़ना,يطير,Voe,Летать,飛ぶ,Mabur,Fliegen,파리,Mouche,ఎగురు,Volare,Lumipad
manner,Manner,方式,Conducta,तौर - तरीका,طريقة,Maneiras,Манера,manner manner,Cara,Benehmen,방법,Manière,పద్ధతిలో,Maniera,Paraan
matrix,Matrix,矩阵,Matriz,आव्यूह,مصفوفة,Matriz,Матрица,マトリックス,Matrix,Matrix,행렬,Matrice,మాతృక,Matrice,Matrix.
containing,Containing,包含,Que contiene,युक्त,تحتوي,Contendo,Содержащий,含める,Ngemot,Enthaltend.,함유자,Contenant,కలిగి,Contenente,Naglalaman ng
combination,Combination,组合,Combinación,संयोजन,مزيج,Combinação,Комбинация,組み合わせ,Kombinasi,Kombination,콤비네이션,Combinaison,కాంబినేషన్,Combinazione,Kumbinasyon
devel,Devel,开发,Devolver,अवलोक,تنمية,Desenvolver-se,Превышать,デーケル,Devel,Erforschen,개발자,Développer,Devel.,Devel.,Devel.
amendment,Amendment,修正案,Enmienda,संशोधन,تعديل,Alteração.,Поправка,修正,Amandemen,Änderung,개정,Amendement,సవరణ,Emendamento,Susog
despite,Despite,尽管,A pesar de,इसके बावजूद,بالرغم من,Apesar de,Несмотря,にもかかわらず,Senadyan,Trotz,에도 불구하고,Malgré,అయినప్పటికీ,Nonostante,Sa kabila
strength,Strength,力量,Fuerza,ताकत,الخضوع ل,Força,Сила,強さ,Kekuwatan,Stärke,힘,Force,శక్తి,Forza,Lakas
guaranteed,Guaranteed,保证,Garantizado,गारंटी,مضمون,Garantido,Гарантировано,保証されて,Dijamin,Garantiert,보장,Garanti,హామీ,Garantito,Garantisadong
turkey,Turkey,火鸡,pavo,तुर्की,ديك رومى,Turquia,Турция,七面鳥,Turkey,Truthahn,칠면조,Turquie,టర్కీ,tacchino,Turkey
libraries,Libraries,图书馆,Bibliotecas,पुस्तकालयों,المكتبات,Bibliotecas,Библиотеки,ライブラリ,Perpustakaan,Bibliotheken,라이브러리,Bibliothèques,లైబ్రరీస్,Biblioteche,Mga Aklatan
proper,Proper,恰当的,Adecuado,ठीक,سليم,Apropriado,Правильный,ちゃんとした,Bener,Richtig,적절한,Correct,సరైనది,Corretto,Tamang
distributed,Distributed,分散式,Repartido,वितरित,وزعت,Distribuído,Распределен,分散しました,Disebarake,Verteilt,분포,Distribué,పంపిణీ చేయబడుతుంది,Distribuito,Ipinamamahagi
degrees,Degrees,程度,Grados,डिग्री,درجات,Graus,Градусы,度,Derajat,Grade,학위,Degrés,డిగ్రీలు,Gradi,Degrees
singapore,Singapore,新加坡,Singapur,सिंगापुर,سنغافورة,Cingapura,Сингапур,シンガポール,Singapura,Singapur,싱가포르,Singapour,సింగపూర్,Singapore,Singapore
enterprises,Enterprises,企业,Empresa,उद्यम,الشركات,Empreendimentos,Предприятия,企業,Perusahaan,Unternehmen,기업,Entreprises,ఎంటర్ప్రైజెస్,Imprese,Mga negosyo
delta,Delta,三角洲,Delta,डेल्टा,دلتا,Delta,Дельта,デルタ,Delta,Delta,델타,Delta,డెల్టా,Delta,Delta.
fear,Fear,害怕,Temor,डर,يخاف,Temer,Страх,恐れ,Wedi,Furcht,두려움,Peur,భయం,Paura,Takot
seeking,Seeking,寻求,Buscando,मांगना,السعي,Buscando,Ищу,求める,Nggolek,Suchend,찾는 것,En cherchant,కోరుతూ,Cercando,Naghahanap
inches,Inches,英寸,Pulgadas,इंच,بوصة,Polegadas,Дюймы,インチ,Inci,Zoll,신장,Pouces,అంగుళాల,Pollici,Pulgada
phoenix,Phoenix,凤凰,Fénix,अचंभा,فينيكس,Fénix,Феникс,フェニックス,Phoenix,Phönix,불사조,Phénix,ఫీనిక్స్,Fenice,Phoenix.
rs,Rs,卢比,Rs,रुपये,روبية,Rs.,Воспитывать,民衆,Rs,Rs.,Rs.,Rs,రూ,Rs.,Rs.
convention,Convention,习俗,Convención,सम्मेलन,اتفاقية. معاهدة,Convenção,соглашение,大会,Konvénsi,Konvention,협약,Convention,కన్వెన్షన్,Convenzione,Convention.
shares,Shares,分享,Comparte,शेयरों,تشارك,Ações,Акции,株式会社,Saham,Anteile,주식,Actions,షేర్లు,Condivisioni,Namamahagi
principal,Principal,主要的,Principal,प्रधान,المالك,Diretor,Главный,主要な,Kepala Sekolah,Rektor,주요한,Principal,ప్రిన్సిపల్,Principale,Punong-guro
daughter,Daughter,女儿,Hija,बेटी,بنت,Filha,Дочь,娘,Putri,Tochter,딸,La fille,కుమార్తె,Figlia,Anak na babae
standing,Standing,常设,De pie,खड़ा है,واقف,De pé,Стоянок,頼りになる,Ngadeg,Stehen,서 있는,Debout,నిలబడి,In piedi,Nakatayo
comfort,Comfort,舒适,Comodidad,आराम,راحة,Conforto,Комфорт,快適,Panglipur,Kompfort,편안,Confort,సౌకర్యము,Comfort,Kaginhawahan
colors,Colors,颜色,Colores,रंग की,الألوان,Cores,Цвета,色,Werna,Farben,그림 물감,Couleurs,రంగులు,Colori,Mga Kulay
wars,Wars,战争,Guerras,युद्धों,الحروب,Guerras,Войны,war war,Wars,Kriege,전쟁,Guerres,వార్స్,Guerre,Wars.
cisco,Cisco,思科,Cisco,सिस्को,سيسكو,Cisco.,Cisco.,シーコンズ,Cisco,Cisco.,시스코,Cisco,సిస్కో,Cisco.,Cisco.
ordering,Ordering,订购,Pedido,आदेश,طلب,Encomenda,Заказа,注文,Pesenan,Bestellung,주문,Ordonnance,ఆర్డరింగ్,Ordinamento,Pag-order
kept,Kept,保存,Conservó,रखा,أبقى,Mantido,Хранить,維持,Dijaga,Gehalten,유지 된,Conservé,Kept.,Tenuto,Iningatan
alpha,Alpha,α,Alfa,अल्फा,ألفا,Alfa,Альфа,アルファ,Alpha,Alpha,알파의,Alpha,ఆల్ఫా,Alfa,Alpha.
appeal,Appeal,上诉,Apelación,निवेदन,جاذبية,Apelo,Обращаться,訴える,Banding,Appellieren,항소,Faire appel,అప్పీల్,Appello,Apila
cruise,Cruise,巡航,Crucero,क्रूज,رحلة بحرية,Cruzeiro,Морское путешествие,クルーズ,Cruise,Kreuzfahrt,크루즈,Croisière,క్రూజ్,Crociera,Cruise.
bonus,Bonus,奖金,Prima,बक्शीश,علاوة,Bônus,Бонус,ボーナス,Bonus,Bonus,보너스,Prime,అదనపు,Bonus.,Bonus.
certification,Certification,认证,Certificación,प्रमाणीकरण,شهادة,Certificação,Сертификация,認証,Sertifikasi,Zertifizierung,인증,Certification,సర్టిఫికేషన్,Certificazione,Sertipikasyon
previously,Previously,之前,Previamente,इससे पहले,سابقا,Anteriormente,Ранее,以前,Biyen,Vorher,이전에,Précédemment,గతంలో,In precedenza,Dati
hey,Hey,嘿,Oye,अरे,مهلا,Ei,Привет,おい,Hey,Hey,이봐,Hey,హే,Hey,Hey.
bookmark,Bookmark,书签,Marcador,बुकमार्क,المرجعية,marca páginas,Закладки,しおり,Bookmark,Lesezeichen,서표,Signet,బుక్మార్క్,Segnalibro,Bookmark
buildings,Buildings,建筑物,Edificios,इमारतों,البنايات,Edifícios,Здания,建物,Bangunan,Gebäude,건물,Immeubles,భవనాలు,Edifici,Mga Gusali
specials,Specials,特价,Especiales,स्पेशल,عروض خاصة,Especiais,Спецназ,特別,Spesialisasi,Specials.,특별,Spécialités,ప్రత్యేకతలు,Speciali,ESPESYAL
beat,Beat,打,Derrotar,हराना,تغلب,Bater,Бить,ビート,Ngalahake,Schlagen,이기다,Battre,బీట్,Colpo,Matalo
disney,Disney,迪士尼,Disney,डिज्नी,ديزني,Disney,Дисней,ディズニー,Disney,Disney.,디즈니,Disney,డిస్నీ,Disney,Disney.
household,Household,家庭,Familiar,गृहस्थी,أسرة,Doméstico,Домашнее хозяйство,家庭,Kluwarga,Haushalt,가정,Ménage,గృహ,Domestico,Sambahayan
batteries,Batteries,电池,Batidor,बैटरियों,بطاريات,Baterias,Батареи,バッテリー,Baterai,Batterien,배터리,Piles,బ్యాటరీలు,Batterie,Baterya.
adobe,Adobe,adobe.,Adobe,एडोब,أدوبي,Adobe,Амантичный,アドビ,Adobe,Adobe,어도비 벽돌,Adobe,అడోబ్,Adobe,Adobe
smoking,Smoking,抽烟,De fumar,धूम्रपान,التدخين,Fumar,Курить,喫煙,Udud,Rauchen,흡연,Fumeur,స్మోకింగ్,Fumare,Paninigarilyo
bbc,Bbc,BBC.,Bbc,बीबीसी,بي بي سي,BBC.,BBC,BBC,BBC,BBC,바베큐,BBC,Bbc.,BBC.,BBC.
becomes,Becomes,成为,Se convierte en,हो जाता है,تصبح,Torna-se,Становится,becomesう,Dadi,Wird,이루어진다,Devient,అవుతుంది,Diventa,Nagiging
drives,Drives,驾驶,Accionamientos,ड्राइव,محركات,Dirige,Приводы,ドライブ,Drive,Fährt,드라이브,Disques,డ్రైవులు,Drives.,Drive.
arms,Arms,武器,Brazos,हथियारों,أسلحة,Braços,Руки,arms,Lengen,Waffen,무기,Les bras,ఆర్మ్స్,Braccia,Arms.
alabama,Alabama,阿拉巴马州,Alabama,अलाबामा,ألاباما,Alabama,Алабама,アラバマ,Alabama,Alabama,알라바마,Alabama,అలబామా,Alabama,Alabama
tea,Tea,茶,Té,चाय,شاي,Chá,Чай,お茶,Teh,Tee,차,Thé,టీ,Tè,Tsaa
improved,Improved,改善,Mejorado,उन्नत,تحسين,Melhorou,Улучшен,改善された,Apik,Verbessert,향상,Amélioré,మెరుగైన,Migliorato,Pinabuting.
trees,Trees,树木,Árboles,पेड़,الأشجار,Árvores,Деревья,木,Wit-witan,Bäume,나무,Des arbres,చెట్లు,Alberi,Mga puno
avg,Avg,Avg.,Avg,औसत,متوسط,Avg.,Avg.,平等,AVG,Avg,평균,Aversion,కనీస,Avg.,Avg.
achieve,Achieve,达到,Lograr,प्राप्त करना,يحقق,Alcançar,Достигать,成し遂げる,Entuk,Leisten,성취하다,Réaliser,సాధించడానికి,Raggiungere,Makiisa
positions,Positions,姿势,Posiciones,स्थितियां,المواقف,Posições,Позиции,位置,Posisi,Positionen,위치,Position,స్థానాలు,Posizioni,Posisyon
dress,Dress,裙子,Vestido,पोशाक,فستان,Vestir,Одеваться,ドレス,Gaun,Kleid,드레스,Robe,దుస్తుల,Vestito,Damit
subscription,Subscription,订阅,Suscripción,अंशदान,اشتراك,Inscrição,Подписка,サブスクリプション,Langganan,Abonnement,신청,Abonnement,చందా,Sottoscrizione,Subscription
dealer,Dealer,经销商,Distribuidor,विक्रेता,تاجر,Distribuidor,Дилер,ディーラー,Dealer,Händler,상인,Marchand,డీలర్,Rivenditore,Dealer.
contemporary,Contemporary,当代的,Contemporáneo,समकालीन,معاصر,Contemporâneo,Современный,コンテンポラリー,Kontemporer,Zeitgenössisch,현대의,Contemporain,సమకాలీన,Contemporaneo,Magkapanabay
sky,Sky,天空,Cielo,आकाश,سماء,Céu,Небо,空,Langit,Himmel,하늘,Ciel,ఆకాశం,Cielo,Kalangitan
utah,Utah,犹他州,Utah,यूटा,يوتا,Utah.,Юта,Utah.,Utah,Utah,유타,Utah,ఉతా,Utah,Utah.
nearby,Nearby,附近,Cercano,पास ही,مجاور,Próximo,"Рядом, поблизости",近く,Nearby,In der Nähe,가까운,Proche,సమీపంలో,Qui vicino,Sa malapit
rom,Rom,只读存储器,ROM,ROM,ذاكرة للقراءة فقط,ROM,ПЗУ,ROM,ROM,Rom,ROM,ROM,రొమ్,Rom,ROM
carried,Carried,携带的,Transportado,किया,حمل,Carregou,Унесенный,carried,Digawa,Getragen,운반하다,Transporté,తీసుకెళ్లారు,Portato,Dinala
happen,Happen,发生,Ocurrir,होना,يحدث,Acontecer,Случаться,起こる,Kelakon,Passieren,일어나 다,Arriver,జరిగే,Accadere,Mangyari
exposure,Exposure,暴露,Exposición,संसर्ग,مكشف,Exposição,Экспозиция,曝露,Paparan,Exposition,노출,Exposition,బహిరంగపరచడం,Esposizione,Pagkakalantad
panasonic,Panasonic,松下,Panasonic,पैनासोनिक,باناسونيك,Panasonic.,Панасон,パナソニック,Panasonic,Panasonic.,파나소닉,Panasonique,పానాసోనిక్,Panasonic.,Panasonic.
hide,Hide,隐藏,Esconder,छिपाना,إخفاء,Esconder,Скрывать,隠れる,Ndhelikake,Verstecken,숨다,Cacher,దాచు,Nascondere,Tago
permalink,Permalink,永久链接,Permalink,स्थायी लिंक,الرابط الثابت,Permalink.,Постоянная ссылка,パーマリンク,Permalink,Permalink,permalink.,Permirant,Permalink.,Permalink.,Permalink.
signature,Signature,签名,Firma,हस्ताक्षर,إمضاء,Assinatura,Подпись,サイン,Tandha,Unterschrift,서명,Signature,సంతకం,Firma,Lagda
gambling,Gambling,赌博,Juego,जुआ,القمار,Jogos de azar,Играть в азартные игры,ギャンブル,Gambling,Glücksspiel,도박,Jeux d'argent,జూదం,Gioco d'azzardo,Pagsusugal
refer,Refer,参考,Referir,उद्घृत करना,أشير,Referir,Ссылаться,参照,Waca,Verweisen,나타내 다,Référer,చూడండి,Fare riferimento,Sumangguni
miller,Miller,磨坊主,Molinero,चक्कीवाला,ميلر,Moleiro,Миллер,ミラー,Miller,Müller,밀러,Meunier,మిల్లెర్,Mugnaio,Miller.
provision,Provision,条款,Provisión,प्रावधान,تقديم,Provisão,Обеспечение,規定,Panentu,Bestimmung,공급,Disposition,నియమం,Fornitura,Probisyon
outdoors,Outdoors,户外,Al aire libre,सड़क पर,في الهواء الطلق,Ao ar livre,На открытом воздухе,屋外,Njobo,Draußen,옥외,En plein air,ఆరుబయట,All'aperto,Sa labas
clothes,Clothes,衣服,Ropa,वस्त्र,ملابس,Roupas,Одежда,服,Sandhangan,Kleider,옷,Vêtements,బట్టలు,Vestiti,Mga damit
caused,Caused,造成的,Causado,वजह,الناجمة,Causada,Вызванный,caused,Disebabake,Verursacht,기인,Causé,సంభవించిన,Causato,Sanhi
luxury,Luxury,奢华,Lujo,विलासिता,رفاهية,Luxo,Роскошь,贅沢,Mewah,Luxus,사치,Luxe,లగ్జరీ,Lusso,Luho
babes,Babes,辣妹,Chicas,बेब्स,فاتنة,Babes,Детки,bab子,Bayi,Babes,아가씨들,Babes,పిల్లలు,Ragazze,Babes.
frames,Frames,框架,Marcos,फ्रेम्स,إطارات,Quadros.,Кадры,骨折り,Bingkai,Frames,프레임,Cadres,ఫ్రేమ్లు,Cornici,Frames.
certainly,Certainly,当然,Ciertamente,निश्चित रूप से,بالتأكيد,Certamente,Безусловно,もちろん,Mesthi,Bestimmt,틀림없이,Certainement,ఖచ్చితంగా,Certamente,Tiyak
indeed,Indeed,的确,En efecto,वास्तव में,في الواقع,De fato,Действительно,それはそう,Pancen,In der Tat,물론,En effet,నిజానికి,Infatti,Sa katunayan
